Round,ADP,Player,,,,,,,,N,,,Players + Rookies (372),Rank
11.10,130.3,Daniel Jones,Daniel,Jones,NYG,QB,,,,130,,,Daniel Jones NYG QB,QB30
11.12,131.9,John Metchie,John,Metchie,HOU,WR,,,,131,,,John Metchie HOU WR,WR52
11.12,131.9,Chase Edmonds,Chase,Edmonds,MIA,RB,,,,132,,,Chase Edmonds MIA RB,RB37
11.12,132.2,Trey McBride,Trey,McBride,ARI,TE,,,,133,,,Trey McBride ARI TE,TE14
12.01,132.9,Tyler Lockett,Tyler,Lockett,SEA,WR,,,,134,,,Tyler Lockett SEA WR,WR53
12.01,132.9,Rhamondre Stevenson,Rhamondre,Stevenson,NE,RB,,,,135,,,Rhamondre Stevenson NE RB,RB38
12.01,133.1,Devin Singletary,Devin,Singletary,BUF,RB,,,,136,,,Devin Singletary BUF RB,RB39
12.04,136.2,Alec Pierce,Alec,Pierce,IND,WR,,,,137,,,Alec Pierce IND WR,WR54
12.05,136.7,Zach Ertz,Zach,Ertz,ARI,TE,,,,138,,,Zach Ertz ARI TE,TE15
12.05,136.9,Calvin Ridley,Calvin,Ridley,ATL,WR,,,,139,,,Calvin Ridley ATL WR,WR55
12.06,137.9,Jared Goff,Jared,Goff,DET,QB,,,,140,,,Jared Goff DET QB,QB31
12.06,137.9,Rondale Moore,Rondale,Moore,ARI,WR,,,,141,,,Rondale Moore ARI WR,WR56
12.06,138.0,Tyler Allgeier,Tyler,Allgeier,ATL,RB,,,,142,,,Tyler Allgeier ATL RB,RB40
12.06,138.0,Matt Corral,Matt,Corral,CAR,QB,,,,143,,,Matt Corral CAR QB,QB32
12.07,138.8,Albert Okwuegbunam,Albert,Okwuegbunam,DEN,TE,,,,144,,,Albert Okwuegbunam DEN TE,TE16
12.07,139.2,Rashaad Penny,Rashaad,Penny,SEA,RB,,,,145,,,Rashaad Penny SEA RB,RB41
12.09,141.4,Adam Thielen,Adam,Thielen,MIN,WR,,,,146,,,Adam Thielen MIN WR,WR57
12.10,142.2,James Robinson,James,Robinson,JAX,RB,,,,147,,,James Robinson JAX RB,RB42
12.10,142.3,Wan'Dale Robinson,Wan'Dale,Robinson,NYG,WR,,,,148,,,Wan'Dale Robinson NYG WR,WR58
12.11,143.2,Irv Smith,Irv,Smith,MIN,TE,,,,149,,,Irv Smith MIN TE,TE17
